,Employee_Name,EmpID,Salary,DOB,Sex,MaritalDesc,DateofHire,DateofTermination,EmploymentStatus,Department,ManagerName,PerformanceScore,Absences,Location,Partner,Amnt_Denied_Leave_Request,Remainding_Leave_Days,Carried_Over_Leave_Days,Cumulative_Leave_Days,Salary_LIABILITY,Leave_Liability
249,"Salter, Jason",233234,56845,12/17/87,M ,Divorced,1/5/2015,10/31/2015,Voluntarily Terminated,Customer Experince,Simon Roup,Fully Meets,2,Vihiga,Fine Media,1,12,6,18,218.6346153846154,3935.423076923077
250,"Sander, Kamrin",239175,137741,07/10/88,F,Married,9/29/2014,Active,Active,Sales and Distribution       ,Elijiah Gray,Fully Meets,2,Karen,Fine Media,3,10,4,14,529.7730769230769,7416.823076923077
251,"Sewkumar, Nori",238590,146350,03/10/75,F,Single,9/30/2013,Active,Active,Sales and Distribution       ,Webster Butler,Fully Meets,14,Kibra,Fine Media,3,6,2,8,562.8846153846154,4503.076923076923
252,"Shepard, Anita ",231444,44173,04/14/81,F,Married,9/30/2014,Active,Active,Customer Experince,Peter Monroe,Fully Meets,7,Nakuru,Fine Media,4,11,6,17,169.89615384615385,2888.2346153846156
253,"Shields, Seffi",238231,111821,08/24/85,F,Married,8/19/2013,Active,Active,Sales and Distribution       ,Amy Dunn,Fully Meets,15,South C,Fine Media,2,16,7,23,430.08076923076925,9891.857692307693
254,"Simard, Kramer",231146,41280,02/08/70,M ,Married,1/5/2015,Active,Active,Customer Experince,Simon Roup,Fully Meets,16,Nakuru,Sheer Logic,4,12,7,19,158.76923076923077,3016.6153846153848
255,"Singh, Nan ",231122,99865,05/19/88,F,Single,5/1/2015,Active,Active,Admin Offices,Brandon R. LeBlanc,Fully Meets,2,Karen,Sheer Logic,3,11,7,18,384.09615384615387,6913.7307692307695
256,"Sloan, Constance",236576,143278,11/25/87,F,Single,10/26/2009,4/8/2015,Voluntarily Terminated,Sales and Distribution       ,Michael Albert,Fully Meets,20,Eldoret,Fine Media,1,15,7,22,551.0692307692308,12123.523076923077
257,"Smith, Joe",231981,31132,10/30/63,M ,Single,9/29/2014,Active,Active,Sales and Distribution       ,Elijiah Gray,Exceeds,4,Busia,Fine Media,1,16,5,21,119.73846153846154,2514.507692307692
258,"Smith, John",233700,109079,08/16/84,M ,Divorced,5/18/2014,Active,Active,Sales,Debra Houlihan,Needs Improvement,16,Busia,Fine Media,1,13,2,15,419.5346153846154,6293.0192307692305
259,"Smith, Leigh Ann",232399,45305,06/14/87,F,Married,9/26/2011,9/25/2013,Voluntarily Terminated,Admin Offices,Brandon R. LeBlanc,Fully Meets,17,Kericho,Fine Media,3,10,2,12,174.25,2091.0
260,"Smith, Sade",239477,88987,02/02/65,F,Single,11/11/2013,Active,Active,Sales and Distribution       ,Ketsia Liebig,Fully Meets,16,Naivasha,Sheer Logic,3,18,3,21,342.2576923076923,7187.411538461539
261,"Soto, Julia ",231006,32984,03/12/73,F,Married,6/10/2011,Active,Active,Customer Experince,Eric Dougall,Fully Meets,19,Murang’a,Fine Media,3,18,2,20,126.86153846153846,2537.230769230769
262,"Soze, Keyser",238621,63204,02/09/83,M ,Married,6/30/2016,Active,Active,Customer Experince,Peter Monroe,Fully Meets,13,Thika,Fine Media,2,8,5,13,243.09230769230768,3160.2
263,"Sparks, Taylor  ",234903,83443,07/20/68,F,Married,2/20/2012,Active,Active,Sales and Distribution       ,Brannon Miller,PIP,20,Thika,Sheer Logic,3,6,7,13,320.93461538461537,4172.15
264,"Spirea, Kelley",231811,127103,09/30/75,F,Married,10/2/2012,Active,Active,Sales and Distribution       ,Janet King,Fully Meets,15,Mombasa,Fine Media,4,20,2,22,488.85769230769233,10754.86923076923
265,"Squatrito, Kristen",235850,80176,03/26/73,F,Divorced,5/13/2013,6/29/2015,Voluntarily Terminated,Sales and Distribution       ,David Stanley,Exceeds,16,Mombasa,Fine Media,4,20,7,27,308.3692307692308,8325.969230769231
266,"Stanford,Barbara  M",233319,81950,08/25/82,F,Divorced,1/10/2011,Active,Active,Sales and Distribution       ,Kissy Sullivan,Fully Meets,9,Kakamega,Sheer Logic,2,18,3,21,315.1923076923077,6619.038461538461
267,"Stansfield, Norman",239727,122076,05/09/74,M ,Married,5/12/2014,Active,Active,Sales,Lynn Daneault,PIP,5,Bomet,Sheer Logic,4,15,4,19,469.5230769230769,8920.938461538462
268,"Steans, Tyrone  ",233457,71578,09/01/86,M ,Single,9/29/2014,Active,Active,Admin Offices,Brandon R. LeBlanc,Fully Meets,9,South C,Fine Media,2,13,5,18,275.3,4955.400000000001
269,"Stoica, Rick",235644,117488,03/14/85,M ,Married,2/17/2014,Active,Active,Sales and Distribution       ,Kelley Spirea,Fully Meets,4,Murang’a,Sheer Logic,2,18,6,24,451.87692307692305,10845.046153846153
270,"Strong, Caitrin",237142,37107,05/12/89,F,Married,9/27/2010,Active,Active,Sales,John Smith,Fully Meets,18,Embakasi,Sheer Logic,4,20,7,27,142.71923076923076,3853.4192307692306
271,"Sullivan, Kissy ",237586,73344,03/28/78,F,Married,1/8/2009,Active,Active,Sales and Distribution       ,Janet King,Fully Meets,12,Mombasa,Fine Media,1,13,3,16,282.0923076923077,4513.476923076923
272,"Sullivan, Timothy",236300,92595,10/07/82,M ,Married,1/5/2015,Active,Active,Sales and Distribution       ,Michael Albert,Fully Meets,10,Nakuru,Sheer Logic,3,13,5,18,356.13461538461536,6410.423076923076
273,"Sutwell, Barbara",235954,109177,08/15/68,F,Single,5/14/2012,Active,Active,Sales and Distribution       ,Elijiah Gray,Fully Meets,13,Malindi,Sheer Logic,4,19,2,21,419.91153846153844,8818.142307692307
274,"Szabo, Andrew",234729,87793,05/06/83,M ,Single,7/7/2014,Active,Active,Human Resource,Alex Sweetwater,Exceeds,1,Busia,Sheer Logic,3,16,4,20,337.6653846153846,6753.3076923076915
275,"Tannen, Biff",233917,57563,10/24/87,M ,Married,4/20/2017,Active,Active,Customer Experince,Brian Champaigne,Fully Meets,14,Vihiga,Sheer Logic,4,17,5,22,221.39615384615385,4870.715384615385
276,"Tavares, Desiree  ",239197,128721,04/03/75,F,Married,4/27/2009,4/1/2013,Voluntarily Terminated,Sales and Distribution       ,Webster Butler,Fully Meets,11,Embakasi,Fine Media,1,13,2,15,495.08076923076925,7426.211538461539
277,"Tejeda, Lenora ",238940,128555,05/24/53,F,Married,5/16/2011,7/8/2017,Voluntarily Terminated,Sales and Distribution       ,Elijiah Gray,Fully Meets,3,South C,Fine Media,1,14,3,17,494.4423076923077,8405.51923076923
278,"Terry, Sharlene ",231844,62055,05/07/65,F,Single,9/29/2014,Active,Active,Sales,Lynn Daneault,Fully Meets,18,South C,Sheer Logic,1,10,2,12,238.67307692307693,2864.0769230769233
279,"Theamstern, Sophia",239034,96850,05/09/65,F,Single,7/5/2011,9/5/2016,Voluntarily Terminated,Sales and Distribution       ,Amy Dunn,Fully Meets,1,Westlands,Sheer Logic,4,17,5,22,372.5,8195.0
280,"Thibaud, Kenneth",234377,105584,09/16/75,M ,Widowed,6/25/2007,8/30/2010,Voluntarily Terminated,Sales and Distribution       ,Webster Butler,Fully Meets,15,Thika,Fine Media,4,20,6,26,406.0923076923077,10558.400000000001
281,"Tippett, Jeanette",232823,74774,06/05/67,F,Divorced,2/18/2013,Active,Active,Sales and Distribution       ,Brannon Miller,Fully Meets,4,Westlands,Sheer Logic,2,7,6,13,287.5923076923077,3738.7000000000003
282,"Torrence, Jack",234557,90192,01/15/68,M ,Separated,1/9/2006,Active,Active,Sales,Lynn Daneault,Exceeds,6,Nyeri,Sheer Logic,3,14,5,19,346.89230769230767,6590.953846153846
283,"Trang, Mei",239667,121660,05/16/83,F,Single,2/17/2014,Active,Active,Sales and Distribution       ,David Stanley,Needs Improvement,18,Thika,Sheer Logic,2,7,7,14,467.9230769230769,6550.923076923076
284,"Tredinnick, Neville ",234848,33977,05/05/88,M ,Married,1/5/2015,2/12/2016,Voluntarily Terminated,Customer Experince,Peter Monroe,Fully Meets,11,Thika,Sheer Logic,2,13,6,19,130.68076923076924,2482.9346153846154
285,"True, Edward",231024,133701,06/14/83,M ,Single,2/18/2013,4/15/2018,Voluntarily Terminated,Human Resource,Alex Sweetwater,Fully Meets,9,Murang’a,Fine Media,1,19,3,22,514.2346153846154,11313.161538461538
286,"Trzeciak, Cybil",238200,149316,03/15/85,F,Single,1/10/2011,7/2/2014,Voluntarily Terminated,Sales and Distribution       ,Amy Dunn,Fully Meets,5,Thika,Sheer Logic,4,13,4,17,574.2923076923076,9762.96923076923
287,"Turpin, Jumil",236918,74200,03/31/69,M ,Married,3/30/2015,Active,Active,Customer Experince,Peter Monroe,Fully Meets,8,Kakamega,Fine Media,4,6,4,10,285.38461538461536,2853.8461538461534
288,"Valentin,Jackie",234545,40846,05/23/91,F,Married,7/5/2011,Active,Active,Sales,John Smith,Fully Meets,16,Kibra,Sheer Logic,4,16,4,20,157.1,3142.0
289,"Veera, Abdellah ",235411,47033,01/31/87,M ,Divorced,8/13/2012,2/5/2016,Voluntarily Terminated,Sales and Distribution       ,Kissy Sullivan,Exceeds,15,Naivasha,Fine Media,2,14,6,20,180.89615384615385,3617.923076923077
290,"Vega, Vincent",233671,45641,10/10/68,M ,Divorced,8/1/2011,Active,Active,Sales and Distribution       ,Janet King,Fully Meets,19,Bomet,Fine Media,3,6,7,13,175.5423076923077,2282.05
291,"Villanueva, Noah",236930,43778,07/11/89,M ,Single,3/5/2012,Active,Active,Sales,John Smith,Fully Meets,11,Malindi,Fine Media,1,19,7,26,168.37692307692308,4377.8
292,"Voldemort, Lord",237686,52651,08/07/86,M ,Married,2/16/2015,2/22/2017,Terminated for Cause,Customer Experince,Simon Roup,Fully Meets,9,Kibra,Fine Media,2,9,3,12,202.50384615384615,2430.046153846154
293,"Volk, Colleen",235053,44988,06/03/86,F,Married,9/26/2011,2/8/2016,Terminated for Cause,Sales and Distribution       ,Kelley Spirea,Exceeds,18,Kibra,Fine Media,3,13,5,18,173.03076923076924,3114.5538461538463
294,"Von Massenbach, Anna",236048,117044,04/06/85,F,Single,7/5/2015,Active,Active,Sales and Distribution       ,Michael Albert,Fully Meets,7,Busia,Sheer Logic,2,16,7,23,450.16923076923075,10353.892307692307
295,"Walker, Roger",237604,58815,02/10/76,M ,Single,8/18/2014,Active,Active,Sales and Distribution       ,Ketsia Liebig,Fully Meets,4,Lamu,Sheer Logic,4,14,4,18,226.21153846153845,4071.8076923076924
296,"Wallace, Courtney  E",238495,31381,11/14/55,F,Married,9/26/2011,1/2/2012,Voluntarily Terminated,Sales and Distribution       ,Janet King,Fully Meets,5,Westlands,Sheer Logic,2,16,2,18,120.69615384615385,2172.5307692307692
297,"Wallace, Theresa",232408,133646,08/02/80,F,Single,8/13/2012,9/1/2015,Voluntarily Terminated,Sales and Distribution       ,Elijiah Gray,Needs Improvement,13,Eldoret,Sheer Logic,4,12,5,17,514.0230769230769,8738.392307692307
298,"Wang, Charlie",233187,61048,07/08/81,M ,Single,2/15/2017,Active,Active,Customer Experince,Brian Champaigne,Fully Meets,17,Embakasi,Fine Media,2,12,5,17,234.8,3991.6000000000004
299,"Warfield, Sarah",238939,145338,05/02/78,F,Widowed,3/30/2015,Active,Active,Customer Experince,Peter Monroe,Fully Meets,7,Mumias,Sheer Logic,1,6,6,12,558.9923076923077,6707.907692307692
300,"Whittier, Scott",232519,94905,05/24/87,M ,Single,1/10/2011,5/15/2014,Voluntarily Terminated,Sales and Distribution       ,Webster Butler,Fully Meets,11,Kericho,Sheer Logic,3,10,2,12,365.0192307692308,4380.2307692307695
301,"Wilber, Barry",236602,100798,09/09/65,M ,Married,5/16/2011,9/7/2015,Voluntarily Terminated,Sales and Distribution       ,Amy Dunn,Fully Meets,7,Malindi,Fine Media,4,19,7,26,387.68461538461537,10079.8
302,"Wilkes, Annie",232492,100141,07/30/83,F,Divorced,1/10/2011,5/14/2012,Voluntarily Terminated,Sales and Distribution       ,Ketsia Liebig,Fully Meets,9,Nyeri,Fine Media,2,13,2,15,385.1576923076923,5777.365384615385
303,"Williams, Jacquelyn  ",239640,109407,10/02/69,F,Single,1/9/2012,6/27/2015,Voluntarily Terminated,Sales and Distribution       ,Ketsia Liebig,Fully Meets,16,Bungoma,Fine Media,2,15,7,22,420.79615384615386,9257.515384615384
304,"Winthrop, Jordan  ",238962,47760,11/07/58,M ,Single,1/7/2013,2/21/2016,Voluntarily Terminated,Sales and Distribution       ,Brannon Miller,Exceeds,7,Kilifi,Sheer Logic,2,19,5,24,183.69230769230768,4408.615384615385
305,"Wolk, Hang  T",238868,78409,04/20/85,F,Single,9/29/2014,Active,Active,Sales and Distribution       ,David Stanley,Fully Meets,14,Nyeri,Fine Media,1,20,5,25,301.57307692307694,7539.326923076924
306,"Woodson, Jason",234854,45935,05/11/85,M ,Single,7/7/2014,Active,Active,Sales and Distribution       ,Kissy Sullivan,Fully Meets,13,Karen,Fine Media,4,15,7,22,176.67307692307693,3886.8076923076924
307,"Ybarra, Catherine ",236966,50134,05/04/82,F,Single,9/2/2008,9/29/2015,Voluntarily Terminated,Sales and Distribution       ,Brannon Miller,PIP,4,Bungoma,Sheer Logic,2,13,5,18,192.8230769230769,3470.8153846153846
308,"Zamora, Jennifer",235483,125537,08/30/79,F,Single,4/10/2010,Active,Active,Customer Experince,Janet King,Exceeds,16,Kakamega,Fine Media,4,12,4,16,482.8346153846154,7725.3538461538465
309,"Zhou, Julia",231838,96728,02/24/79,F,Single,3/30/2015,Active,Active,Customer Experince,Simon Roup,Fully Meets,11,Malindi,Sheer Logic,1,18,5,23,372.03076923076924,8556.707692307693
310,"Zima, Colleen",238881,45510,08/17/78,F,Widowed,9/29/2014,Active,Active,Sales and Distribution       ,David Stanley,Fully Meets,2,Bomet,Sheer Logic,4,18,4,22,175.03846153846155,3850.8461538461543
